Date,3mo_Tbill
02/05/2019,2.42
02/06/2019,2.42
02/07/2019,2.42
02/08/2019,2.43
02/11/2019,2.45
02/12/2019,2.43
02/13/19,2.44
02/14/19,2.43
02/15/19,2.43
02/19/19,2.45
02/20/19,2.45
02/21/19,2.45
02/22/19,2.46
02/25/19,2.47
02/26/19,2.45
02/27/19,2.45
02/28/19,2.45
03/01/2019,2.44
03/04/2019,2.46
03/05/2019,2.46
03/06/2019,2.47
03/07/2019,2.45
03/08/2019,2.46
03/11/2019,2.46
03/12/2019,2.46
03/13/19,2.45
03/14/19,2.45
03/15/19,2.45
03/18/19,2.44
03/19/19,2.46
03/20/19,2.48
03/21/19,2.49
03/22/19,2.46
03/25/19,2.46
03/26/19,2.46
03/27/19,2.44
03/28/19,2.43
03/29/19,2.4
04/01/2019,2.43
04/02/2019,2.42
04/03/2019,2.44
04/04/2019,2.44
04/05/2019,2.44
04/08/2019,2.43
04/09/2019,2.42
04/10/2019,2.43
04/11/2019,2.43
04/12/2019,2.44
04/15/19,2.43
04/16/19,2.43
04/17/19,2.44
04/18/19,2.42
04/22/19,2.44
04/23/19,2.45
04/24/19,2.44
04/25/19,2.43
04/26/19,2.42
04/29/19,2.44
04/30/19,2.43
05/01/2019,2.43
05/02/2019,2.47
05/03/2019,2.43
05/06/2019,2.44
05/07/2019,2.43
05/08/2019,2.43
05/09/2019,2.43
05/10/2019,2.43
05/13/19,2.41
05/14/19,2.41
05/15/19,2.42
05/16/19,2.4
05/17/19,2.39
05/20/19,2.39
05/21/19,2.39
05/22/19,2.38
05/23/19,2.37
05/24/19,2.35
05/28/19,2.37
05/29/19,2.37
05/30/19,2.38
05/31/19,2.35
06/03/2019,2.35
06/04/2019,2.35
06/05/2019,2.35
06/06/2019,2.33
06/07/2019,2.28
06/10/2019,2.29
06/11/2019,2.27
06/12/2019,2.24
06/13/19,2.19
06/14/19,2.2
06/17/19,2.23
06/18/19,2.22
06/19/19,2.18
06/20/19,2.14
06/21/19,2.11
06/24/19,2.13
06/25/19,2.12
06/26/19,2.15
06/27/19,2.14
06/28/19,2.12
07/01/2019,2.21
07/02/2019,2.2
07/03/2019,2.21
07/05/2019,2.23
07/08/2019,2.26
07/09/2019,2.26
07/10/2019,2.2
07/11/2019,2.17
07/12/2019,2.14
07/15/19,2.16
07/16/19,2.15
07/17/19,2.14
07/18/19,2.05
07/19/19,2.06
07/22/19,2.09
07/23/19,2.06
07/24/19,2.1
07/25/19,2.1
07/26/19,2.12
07/29/19,2.12
07/30/19,2.08
07/31/19,2.08
08/01/2019,2.07
08/02/2019,2.06
08/05/2019,2.05
08/06/2019,2.05
08/07/2019,2.02
08/08/2019,2.02
08/09/2019,2
08/12/2019,2
08/13/19,2
08/14/19,1.96
08/15/19,1.91
08/16/19,1.87
08/19/19,1.94
08/20/19,1.94
08/21/19,1.97
08/22/19,2
08/23/19,1.97
08/26/19,2.01
08/27/19,1.98
08/28/19,1.99
08/29/19,1.99
08/30/19,1.99
09/03/2019,1.98
09/04/2019,1.97
09/05/2019,1.97
09/06/2019,1.96
09/09/2019,1.96
09/10/2019,1.95
09/11/2019,1.96
09/12/2019,1.95
09/13/19,1.96
09/16/19,1.99
09/17/19,1.99
09/18/19,1.95
09/19/19,1.93
09/20/19,1.91
09/23/19,1.94
09/24/19,1.92
09/25/19,1.89
09/26/19,1.83
09/27/19,1.8
09/30/19,1.88
10/01/2019,1.82
10/02/2019,1.79
10/03/2019,1.7
10/04/2019,1.71
10/07/2019,1.75
10/08/2019,1.72
10/09/2019,1.69
10/10/2019,1.68
10/11/2019,1.68
10/15/19,1.67
10/16/19,1.66
10/17/19,1.66
10/18/19,1.66
10/21/19,1.67
10/22/19,1.65
10/23/19,1.65
10/24/19,1.67
10/25/19,1.66
10/28/19,1.65
10/29/19,1.63
10/30/19,1.62
10/31/19,1.54
11/01/2019,1.52
11/04/2019,1.53
11/05/2019,1.56
11/06/2019,1.56
11/07/2019,1.56
11/08/2019,1.55
11/12/2019,1.59
11/13/19,1.57
11/14/19,1.57
11/15/19,1.57
11/18/19,1.57
11/19/19,1.57
11/20/19,1.57
11/21/19,1.58
11/22/19,1.58
11/25/19,1.61
11/26/19,1.6
11/27/19,1.62
11/29/19,1.59
12/02/2019,1.6
12/03/2019,1.57
12/04/2019,1.55
12/05/2019,1.54
12/06/2019,1.53
12/09/2019,1.54
12/10/2019,1.56
12/11/2019,1.57
12/12/2019,1.56
12/13/19,1.57
12/16/19,1.57
12/17/19,1.56
12/18/19,1.56
12/19/19,1.57
12/20/19,1.58
12/23/19,1.59
12/24/19,1.58
12/26/19,1.58
12/27/19,1.57
12/30/19,1.57
12/31/19,1.55
01/02/2020,1.54
01/03/2020,1.52
01/06/2020,1.56
01/07/2020,1.54
01/08/2020,1.54
01/09/2020,1.54
01/10/2020,1.54
01/13/20,1.57
01/14/20,1.57
01/15/20,1.57
01/16/20,1.55
01/17/20,1.56
01/21/20,1.56
01/22/20,1.55
01/23/20,1.55
01/24/20,1.54
01/27/20,1.55
01/28/20,1.57
01/29/20,1.56
01/30/20,1.57
01/31/20,1.55
02/03/2020,1.57
02/04/2020,1.57
02/05/2020,1.57
02/06/2020,1.57
02/07/2020,1.56
